text_input,output
Here is a document I need signed. Please detect all fields and prepare the form for the signer.,"✅ Upload received. I will now scan for input fields such as name, signature, initials, email, phone, and date. Once detected, I’ll present a form where each field is filled once. After confirmation, I’ll auto-fill and return the completed version to you with signature verification and timestamp."
Can you help me draft a simple purchase agreement?,"Sure! I’ll provide a template including buyer/seller names, item description, payment terms, and signatures. Remember: I am not a lawyer. For legal validity, consult a legal professional before using the document."
Can I review and edit the fillable fields before it goes to the signer?,"Absolutely. After I detect all form fields, you’ll be able to preview, add, edit, or remove any field before the signer is notified."
"I want the signer to only sign once, not every single line.","Understood. Once the signer enters their information, I will automatically map and populate every instance of the same field throughout the document. Only one entry per field type is needed."
Can you help me write a bill of sale for a used car?,"Certainly! I’ll create a draft including seller and buyer names, vehicle information, sale price, date, and signatures. Please verify this draft with a legal professional before using it."
This document requires multiple entries for name. Can you detect all required fields?,Yes. I will identify all instances where name is required and detect all required fields. You’ll only need to input it once for it to appear wherever needed in the document.
This document requires multiple entries for signature. Can you prepare this document for e-signature?,Yes. I will identify all instances where signature is required and prepare this document for e-signature. You’ll only need to input it once for it to appear wherever needed in the document.
This document requires multiple entries for initials. Can you auto-populate all instances of repeated fields?,Yes. I will identify all instances where initials is required and auto-populate all instances of repeated fields. You’ll only need to input it once for it to appear wherever needed in the document.
This document requires multiple entries for address. Can you verify compliance before sending?,Yes. I will identify all instances where address is required and verify compliance before sending. You’ll only need to input it once for it to appear wherever needed in the document.
This document requires multiple entries for email. Can you help edit and modernize the document layout?,Yes. I will identify all instances where email is required and help edit and modernize the document layout. You’ll only need to input it once for it to appear wherever needed in the document.
This document requires multiple entries for phone number. Can you add missing signature blocks?,Yes. I will identify all instances where phone number is required and add missing signature blocks. You’ll only need to input it once for it to appear wherever needed in the document.
This document requires multiple entries for date. Can you generate an IP-stamped audit trail?,Yes. I will identify all instances where date is required and generate an IP-stamped audit trail. You’ll only need to input it once for it to appear wherever needed in the document.
This document requires multiple entries for SSN. Can you allow me to review all form entries?,Yes. I will identify all instances where SSN is required and allow me to review all form entries. You’ll only need to input it once for it to appear wherever needed in the document.
This document requires multiple entries for timestamp. Can you prepare this for a single signature entry?,Yes. I will identify all instances where timestamp is required and prepare this for a single signature entry. You’ll only need to input it once for it to appear wherever needed in the document.
This document requires multiple entries for name. Can you auto-fill every matching field after one-time input?,Yes. I will identify all instances where name is required and auto-fill every matching field after one-time input. You’ll only need to input it once for it to appear wherever needed in the document.
This document requires multiple entries for signature. Can you detect all required fields?,Yes. I will identify all instances where signature is required and detect all required fields. You’ll only need to input it once for it to appear wherever needed in the document.
This document requires multiple entries for initials. Can you prepare this document for e-signature?,Yes. I will identify all instances where initials is required and prepare this document for e-signature. You’ll only need to input it once for it to appear wherever needed in the document.
This document requires multiple entries for address. Can you auto-populate all instances of repeated fields?,Yes. I will identify all instances where address is required and auto-populate all instances of repeated fields. You’ll only need to input it once for it to appear wherever needed in the document.
This document requires multiple entries for email. Can you verify compliance before sending?,Yes. I will identify all instances where email is required and verify compliance before sending. You’ll only need to input it once for it to appear wherever needed in the document.
This document requires multiple entries for phone number. Can you help edit and modernize the document layout?,Yes. I will identify all instances where phone number is required and help edit and modernize the document layout. You’ll only need to input it once for it to appear wherever needed in the document.
This document requires multiple entries for date. Can you add missing signature blocks?,Yes. I will identify all instances where date is required and add missing signature blocks. You’ll only need to input it once for it to appear wherever needed in the document.
This document requires multiple entries for SSN. Can you generate an IP-stamped audit trail?,Yes. I will identify all instances where SSN is required and generate an IP-stamped audit trail. You’ll only need to input it once for it to appear wherever needed in the document.
This document requires multiple entries for timestamp. Can you allow me to review all form entries?,Yes. I will identify all instances where timestamp is required and allow me to review all form entries. You’ll only need to input it once for it to appear wherever needed in the document.
This document requires multiple entries for name. Can you prepare this for a single signature entry?,Yes. I will identify all instances where name is required and prepare this for a single signature entry. You’ll only need to input it once for it to appear wherever needed in the document.
This document requires multiple entries for signature. Can you auto-fill every matching field after one-time input?,Yes. I will identify all instances where signature is required and auto-fill every matching field after one-time input. You’ll only need to input it once for it to appear wherever needed in the document.
This document requires multiple entries for initials. Can you detect all required fields?,Yes. I will identify all instances where initials is required and detect all required fields. You’ll only need to input it once for it to appear wherever needed in the document.
This document requires multiple entries for address. Can you prepare this document for e-signature?,Yes. I will identify all instances where address is required and prepare this document for e-signature. You’ll only need to input it once for it to appear wherever needed in the document.
This document requires multiple entries for email. Can you auto-populate all instances of repeated fields?,Yes. I will identify all instances where email is required and auto-populate all instances of repeated fields. You’ll only need to input it once for it to appear wherever needed in the document.
This document requires multiple entries for phone number. Can you verify compliance before sending?,Yes. I will identify all instances where phone number is required and verify compliance before sending. You’ll only need to input it once for it to appear wherever needed in the document.
This document requires multiple entries for date. Can you help edit and modernize the document layout?,Yes. I will identify all instances where date is required and help edit and modernize the document layout. You’ll only need to input it once for it to appear wherever needed in the document.
This document requires multiple entries for SSN. Can you add missing signature blocks?,Yes. I will identify all instances where SSN is required and add missing signature blocks. You’ll only need to input it once for it to appear wherever needed in the document.
This document requires multiple entries for timestamp. Can you generate an IP-stamped audit trail?,Yes. I will identify all instances where timestamp is required and generate an IP-stamped audit trail. You’ll only need to input it once for it to appear wherever needed in the document.
This document requires multiple entries for name. Can you allow me to review all form entries?,Yes. I will identify all instances where name is required and allow me to review all form entries. You’ll only need to input it once for it to appear wherever needed in the document.
This document requires multiple entries for signature. Can you prepare this for a single signature entry?,Yes. I will identify all instances where signature is required and prepare this for a single signature entry. You’ll only need to input it once for it to appear wherever needed in the document.
This document requires multiple entries for initials. Can you auto-fill every matching field after one-time input?,Yes. I will identify all instances where initials is required and auto-fill every matching field after one-time input. You’ll only need to input it once for it to appear wherever needed in the document.
This document requires multiple entries for address. Can you detect all required fields?,Yes. I will identify all instances where address is required and detect all required fields. You’ll only need to input it once for it to appear wherever needed in the document.
This document requires multiple entries for email. Can you prepare this document for e-signature?,Yes. I will identify all instances where email is required and prepare this document for e-signature. You’ll only need to input it once for it to appear wherever needed in the document.
This document requires multiple entries for phone number. Can you auto-populate all instances of repeated fields?,Yes. I will identify all instances where phone number is required and auto-populate all instances of repeated fields. You’ll only need to input it once for it to appear wherever needed in the document.
This document requires multiple entries for date. Can you verify compliance before sending?,Yes. I will identify all instances where date is required and verify compliance before sending. You’ll only need to input it once for it to appear wherever needed in the document.
This document requires multiple entries for SSN. Can you help edit and modernize the document layout?,Yes. I will identify all instances where SSN is required and help edit and modernize the document layout. You’ll only need to input it once for it to appear wherever needed in the document.
